epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7652,1.53777,4.58242,1.47241,0.05748,0.57143,0.50349,0.40718,1.23478,4.46775,1.25539,0.00012861,0.00012861,0.00012861
2,51.4303,1.02986,3.16166,1.12787,0.04037,0.53571,0.50517,0.42574,1.31368,4.384,1.32045,0.000266134,0.000266134,0.000266134
3,64.6313,1.0076,2.98541,1.13019,0.00762,0.57143,0.53546,0.42833,1.33,4.31065,1.33979,0.000397999,0.000397999,0.000397999
4,77.6679,1.28558,2.88267,1.33379,0.00494,0.53571,0.50248,0.42669,1.43296,4.29614,1.42144,0.000524206,0.000524206,0.000524206
5,91.1821,0.98218,2.10811,1.13872,1,0.41282,0.51376,0.42833,1.38688,4.16492,1.3797,0.000644753,0.000644753,0.000644753
6,104.296,1.15268,2.68202,1.19415,1,0.4919,0.50157,0.37865,1.55925,3.90573,1.49333,0.000759642,0.000759642,0.000759642
7,117.703,1.16869,2.22862,1.23356,1,0.4932,0.51011,0.40924,1.55386,3.7901,1.48331,0.000868872,0.000868872,0.000868872
8,131.785,1.03297,2.29477,1.12307,0.99521,0.5,0.5602,0.43901,1.44876,3.51485,1.49548,0.000972443,0.000972443,0.000972443
9,146.851,0.97082,1.87767,1.06899,0.95873,0.5,0.70559,0.47375,1.4034,3.21051,1.43914,0.00107036,0.00107036,0.00107036
10,161.191,1.01816,1.9747,1.13458,0.70692,0.64063,0.68451,0.52978,1.17293,2.75464,1.2404,0.00116261,0.00116261,0.00116261
11,175.484,1.12378,2.3591,1.21077,0.74993,0.64384,0.68725,0.51829,1.17391,3.00626,1.26078,0.00114606,0.00114606,0.00114606
12,189.822,0.94776,2.00967,1.0774,0.89422,0.64286,0.71715,0.54101,1.14614,2.53721,1.30636,0.00111776,0.00111776,0.00111776
