epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2672,3.10813,14.295,2.9403,0.01949,0.57143,0.37957,0.31522,2.27444,17.0497,2.63728,0.00012861,0.00012861,0.00012861
2,46.3986,2.238,11.3118,2.33792,0.02734,0.64286,0.37188,0.33213,2.20669,16.8326,2.43085,0.000268019,0.000268019,0.000268019
3,61.415,2.17981,11.0912,2.21448,0.02575,0.67857,0.38938,0.32944,2.31647,16.4742,2.53589,0.000403754,0.000403754,0.000403754
4,75.5161,2.89275,11.4399,2.7171,0.01862,0.57143,0.40863,0.3393,2.26278,16.3172,2.54387,0.000535814,0.000535814,0.000535814
5,90.8865,2.37693,8.6505,2.35743,0.01582,0.53571,0.4225,0.37107,2.31307,16.2337,2.56187,0.000664199,0.000664199,0.000664199
6,104.927,2.73427,10.5098,2.42031,0.01416,0.57143,0.35815,0.31636,2.30063,15.8932,2.55927,0.00078891,0.00078891,0.00078891
7,119.278,2.62479,8.47898,2.51461,0.01128,0.67857,0.37137,0.31269,2.29311,15.6283,2.59705,0.000909946,0.000909946,0.000909946
8,134.337,2.45884,9.77283,2.354,0.00988,0.75,0.45993,0.3143,2.4315,15.097,2.57684,0.00102731,0.00102731,0.00102731
9,150.027,2.45601,7.88657,2.33041,0.3803,0.67857,0.52374,0.32543,2.61807,15.2276,2.61476,0.001141,0.001141,0.001141
10,164.862,2.49588,7.84681,2.36779,0.77041,0.39732,0.61077,0.41762,2.39725,14.0298,2.61494,0.00125101,0.00125101,0.00125101
11,179.983,2.58053,9.65809,2.55799,0.73153,0.1643,0.53533,0.38826,2.4243,13.8393,2.70741,0.00124527,0.00124527,0.00124527
12,195.777,2.38709,8.82865,2.35404,0.53314,0.36657,0.52275,0.3996,2.62057,12.9413,2.71677,0.0012269,0.0012269,0.0012269
13,210.864,2.52055,8.24114,2.455,0.54437,0.52857,0.59218,0.44699,2.71426,12,2.747,0.00120853,0.00120853,0.00120853
14,225.29,2.09347,7.95062,2.19781,0.66984,0.75615,0.70899,0.45449,2.61971,11.032,2.59434,0.00119015,0.00119015,0.00119015
15,239.158,2.63246,8.93182,2.54718,0.68789,0.77717,0.72478,0.45827,2.45698,10.418,2.5599,0.00117178,0.00117178,0.00117178
16,253.555,2.42685,7.67602,2.38224,0.66966,0.73129,0.73319,0.47923,2.34709,10.1398,2.52872,0.00115341,0.00115341,0.00115341
17,268.755,2.48635,7.64629,2.33984,0.55972,0.63342,0.70115,0.48717,2.35564,9.92608,2.4517,0.00113503,0.00113503,0.00113503
18,282.607,2.63999,8.81831,2.62071,0.68822,0.76762,0.72397,0.53173,2.34515,9.25943,2.49626,0.00111666,0.00111666,0.00111666
19,297.597,2.36853,7.24382,2.39874,0.67553,0.62857,0.70496,0.53985,2.33325,9.19685,2.53833,0.00109829,0.00109829,0.00109829
20,312.964,2.45236,8.26914,2.47894,0.63945,0.68935,0.69029,0.49467,2.39083,9.1409,2.60291,0.00107992,0.00107992,0.00107992
21,328.435,1.99902,5.67902,2.11029,0.65455,0.67857,0.69755,0.51263,2.41848,8.96661,2.51532,0.00106154,0.00106154,0.00106154
22,342.999,2.22205,6.44647,2.42246,0.8579,0.64286,0.7297,0.53079,2.49408,8.153,2.53548,0.00104317,0.00104317,0.00104317
23,359.518,2.22046,5.55092,2.26218,0.69738,0.67209,0.7255,0.50948,2.43292,7.99509,2.46098,0.0010248,0.0010248,0.0010248
24,375.744,2.24793,6.41034,2.29265,0.72892,0.67857,0.74627,0.51618,2.45394,7.57815,2.43325,0.00100642,0.00100642,0.00100642
25,392.272,2.04948,5.55526,2.14929,0.65321,0.71429,0.7383,0.51556,2.32164,7.20395,2.42721,0.000988051,0.000988051,0.000988051
26,408.857,2.23928,6.1306,2.26865,0.65057,0.7702,0.82932,0.59654,2.13008,6.73196,2.40748,0.000969679,0.000969679,0.000969679
27,424.896,2.04031,5.4067,2.1899,0.81831,0.71429,0.80769,0.59071,2.16393,6.68788,2.37702,0.000951306,0.000951306,0.000951306
28,440.877,2.28184,6.22264,2.24459,0.86421,0.65032,0.78324,0.57134,2.18679,6.88594,2.37243,0.000932933,0.000932933,0.000932933
29,455.96,2.098,6.03377,2.21002,0.89198,0.59081,0.74007,0.56919,2.17358,6.85909,2.3539,0.00091456,0.00091456,0.00091456
30,470.946,2.37527,5.6336,2.32107,0.59161,0.73571,0.74798,0.55182,2.30699,7.08702,2.43485,0.000896187,0.000896187,0.000896187
31,487.241,2.33317,5.72024,2.398,0.72699,0.82143,0.82312,0.60236,2.26512,6.97718,2.45519,0.000877814,0.000877814,0.000877814
32,502.386,2.16077,5.63801,2.22385,0.90688,0.74776,0.8597,0.64191,2.16321,6.88736,2.40084,0.000859441,0.000859441,0.000859441
33,517.172,2.15677,5.97445,2.2509,0.90071,0.78571,0.85291,0.63138,2.11455,6.78071,2.35842,0.000841069,0.000841069,0.000841069
34,532.545,1.79953,4.73075,2.11981,0.73221,0.71429,0.81944,0.62086,1.91786,6.44853,2.33256,0.000822696,0.000822696,0.000822696
35,546.558,1.95866,4.65215,2.11435,0.66753,0.78571,0.81014,0.62387,1.84364,6.2563,2.35595,0.000804323,0.000804323,0.000804323
36,561.694,1.78918,4.57286,2.10915,0.71818,0.75,0.78275,0.59623,1.86269,6.3655,2.41636,0.00078595,0.00078595,0.00078595
37,577.489,1.96063,4.68963,2.15013,0.82512,0.66429,0.76471,0.54824,1.97519,6.45199,2.37814,0.000767577,0.000767577,0.000767577
38,594.355,2.00957,5.11017,2.18413,0.79026,0.75,0.84101,0.63547,2.01033,6.19896,2.35461,0.000749204,0.000749204,0.000749204
39,610.172,1.74782,4.86606,2.07255,0.88694,0.70872,0.84446,0.63035,2.04373,6.01892,2.37889,0.000730831,0.000730831,0.000730831
40,625.456,2.3085,5.54411,2.30356,0.71493,0.75,0.83535,0.63478,1.94594,5.75318,2.33484,0.000712459,0.000712459,0.000712459
41,640.74,1.73302,4.32554,2.06148,0.60671,0.92471,0.85542,0.65007,1.83291,5.50641,2.24598,0.000694086,0.000694086,0.000694086
42,655.505,1.86094,5.00014,2.16348,0.69039,0.75,0.83234,0.63963,1.89749,5.38561,2.19979,0.000675713,0.000675713,0.000675713
43,671.851,2.15321,5.12897,2.22666,0.81614,0.71429,0.81359,0.62033,1.87274,5.29156,2.18936,0.00065734,0.00065734,0.00065734
44,686.013,1.70463,4.12932,2.03993,0.63295,0.87353,0.8312,0.65574,1.75144,5.03416,2.1108,0.000638967,0.000638967,0.000638967
45,701.415,1.91415,4.55299,2.13397,0.77461,0.76909,0.85445,0.69177,1.71066,5.01317,2.10757,0.000620594,0.000620594,0.000620594
46,716.057,1.96101,4.72917,2.18813,0.68488,0.78571,0.86415,0.69905,1.72394,5.11631,2.12985,0.000602221,0.000602221,0.000602221
47,732.699,1.73523,4.11371,2.00426,0.63664,0.76754,0.8481,0.68919,1.7694,5.17751,2.16216,0.000583849,0.000583849,0.000583849
48,748.535,1.53973,3.77214,1.99342,0.67622,0.75,0.8371,0.69208,1.71206,5.04835,2.145,0.000565476,0.000565476,0.000565476
49,763.628,1.67731,4.4702,2.05139,0.717,0.75,0.81939,0.67943,1.69256,4.90517,2.18624,0.000547103,0.000547103,0.000547103
50,778.602,1.70114,4.20346,2.04579,0.77166,0.87404,0.83744,0.68031,1.64824,4.8927,2.14683,0.00052873,0.00052873,0.00052873
51,792.828,1.79748,4.10557,2.0772,0.81263,0.82143,0.86058,0.70824,1.67693,4.82142,2.16305,0.000510357,0.000510357,0.000510357
52,807.936,1.67898,3.74234,1.9911,0.74649,0.83391,0.8625,0.71118,1.66382,4.76575,2.15034,0.000491984,0.000491984,0.000491984
53,823.022,1.95414,4.36063,2.07939,0.73701,0.85714,0.8627,0.71382,1.64153,4.64415,2.13771,0.000473611,0.000473611,0.000473611
54,837.797,1.60095,4.12211,2.02847,0.72572,0.78571,0.83938,0.67264,1.69447,4.6569,2.13841,0.000455239,0.000455239,0.000455239
55,852.014,1.40848,3.31392,1.92211,0.768,0.84327,0.83671,0.68259,1.70607,4.56922,2.13798,0.000436866,0.000436866,0.000436866
56,868.413,1.77715,3.81151,2.05017,0.79332,0.83921,0.87179,0.70014,1.71086,4.50487,2.12791,0.000418493,0.000418493,0.000418493
57,884.169,1.66395,3.82851,2.00807,0.79801,0.85329,0.85019,0.67194,1.71439,4.42185,2.13218,0.00040012,0.00040012,0.00040012
58,899.257,1.77861,4.15563,2.08643,0.75657,0.86873,0.83564,0.67975,1.77764,4.40574,2.18449,0.000381747,0.000381747,0.000381747
59,915.053,1.76215,3.66058,2.08687,0.7538,0.77143,0.83404,0.66838,1.84915,4.43756,2.23434,0.000363374,0.000363374,0.000363374
60,930.753,1.52728,3.50061,1.95217,0.76523,0.77143,0.84843,0.66534,1.90289,4.40225,2.25412,0.000345001,0.000345001,0.000345001
61,944.842,1.46124,3.54158,1.90877,0.76665,0.80714,0.87386,0.6861,1.85335,4.35968,2.24272,0.000326629,0.000326629,0.000326629
